Model Id,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10
bow_en,41.795,42.242,41.779,42.05,42.141,42.092,41.534,42.591,42.094,42.464
bow_es,29.56,29.499,29.763,29.61,29.955,30.168,29.864,29.296,29.59,28.667
bow_fair,41.795,42.242,41.779,42.05,42.141,42.092,41.534,42.591,42.094,42.464
char_bi_lstm_us_train_17,42.143,42.943,42.04,42.559,42.693,42.442,41.722,42.818,39.231
char_bi_lstm_us_train_17_128_128,43.162,43.724,43.43,43.746,43.566,43.792,43.319,39.763
char_bi_lstm_us_train_17_64_64,42.242,42.693,42.135,42.304,43.052,42.911,41.874,40.661
char_cnn_bilstm_us_train_128_128,42.472,43.121,42.545,42.963,42.957,43.18,42.401,43.123,43.095,43.166
char_cnn_bilstm_us_train_128_128_es,31.041,30.747,30.838,31.223,31.112,31.071,31.791,30.98,31.152
char_cnn_lstm_us_train,42.794,43.386,42.581,43.119,43.434,43.402,42.375,43.463,42.86,43.0
char_cnn_lstm_us_train_128_128,42.781,43.406,43.105,43.271,43.519,43.121,42.385,43.402,43.081,43.168
char_cnn_lstm_us_train_128_128_fair_training,42.87,43.335,42.678,43.196,43.058,43.255,42.622,43.457,43.21,43.105
char_cnn_lstm_us_train_17,42.79,43.37,42.806,43.333,43.067,43.105,42.411,43.198,43.02,43.143
char_lstm_us_train_17,41.378,41.777,40.93,41.251,41.605,41.854,40.915,41.591,41.439,41.417
char_lstm_us_train_17_128_128,42.911,43.289,42.606,43.16,43.158,43.469,42.452,43.412,42.654,43.141
lsvc_en,46.105,46.27,45.733,46.083,46.289,46.248,45.398,46.391,46.142,46.373
lsvc_es,32.786,32.928,32.735,33.658,33.364,33.526,33.455,32.42,33.465,32.928
mfc_en,21.695,21.902,21.383,21.712,21.795,21.681,21.518,21.955,21.591,21.922
mfc_es,19.091,20.308,19.578,20.166,20.369,19.963,20.532,19.659,19.811,19.761
rand_en,5.157,5.01,4.996,5.022,4.908,5.006,4.984,5.012,4.888,5.151
rand_es,5.478,5.214,5.681,5.518,5.366,5.295,5.336,5.721,5.265,5.701
word_cnn,38.819,37.329,37.04,37.208,37.129,37.252,37.09,37.927,37.602,37.749
